train_single_dqn.py:130: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /Users/runner/work/pytorch/pytorch/pytorch/torch/csrc/utils/tensor_new.cpp:277.)
  image_seq_input = torch.tensor(image_seq, dtype=torch.float32).unsqueeze(0).to(device)
Episode 336/100000, Total Reward: -5, loss: 17.578125
Episode 337/100000, Total Reward: -5, loss: 17.57820701599121
Episode 338/100000, Total Reward: -5, loss: 15.625
Episode 339/100000, Total Reward: -5, loss: 13.28125
Episode 340/100000, Total Reward: -5, loss: 12.109375
Episode 341/100000, Total Reward: 5, loss: 12.890625
Episode 342/100000, Total Reward: -5, loss: 13.28125
Episode 343/100000, Total Reward: -5, loss: 15.625048637390137
Episode 344/100000, Total Reward: -5, loss: 12.109375
Episode 345/100000, Total Reward: -5, loss: 16.015666961669922
Episode 346/100000, Total Reward: -5, loss: 15.234421730041504
Episode 347/100000, Total Reward: -5, loss: 15.234375
Episode 348/100000, Total Reward: -5, loss: 16.796958923339844
Episode 349/100000, Total Reward: -5, loss: 15.625
Episode 350/100000, Total Reward: 5, loss: 15.625046730041504
Episode 351/100000, Total Reward: -5, loss: 21.09382438659668
Episode 352/100000, Total Reward: -5, loss: 11.71875
Episode 353/100000, Total Reward: -5, loss: 19.53125
Episode 354/100000, Total Reward: -5, loss: 19.140745162963867
Episode 355/100000, Total Reward: -5, loss: 14.453125
Episode 356/100000, Total Reward: -5, loss: 18.359375
Episode 357/100000, Total Reward: -5, loss: 13.281316757202148
Episode 358/100000, Total Reward: -5, loss: 20.703187942504883
Episode 359/100000, Total Reward: -5, loss: 14.0625
Episode 360/100000, Total Reward: 5, loss: 12.890625
Episode 361/100000, Total Reward: -5, loss: 19.53131866455078
Episode 362/100000, Total Reward: -5, loss: 11.328125
Episode 363/100000, Total Reward: -5, loss: 16.015625
Episode 364/100000, Total Reward: -5, loss: 16.40625
Episode 365/100000, Total Reward: -5, loss: 14.062651634216309
Episode 366/100000, Total Reward: -5, loss: 13.671875
Episode 367/100000, Total Reward: -5, loss: 15.625068664550781
Episode 368/100000, Total Reward: -5, loss: 17.1875
Episode 369/100000, Total Reward: -5, loss: 12.890673637390137
Episode 370/100000, Total Reward: -5, loss: 17.187538146972656
Episode 371/100000, Total Reward: -5, loss: 16.015625
Episode 372/100000, Total Reward: -5, loss: 16.796875
Episode 373/100000, Total Reward: -5, loss: 17.578125
Episode 374/100000, Total Reward: -5, loss: 12.890625
Episode 375/100000, Total Reward: 5, loss: 15.625033378601074
Episode 376/100000, Total Reward: -5, loss: 19.140625
Episode 377/100000, Total Reward: -5, loss: 15.625
Episode 378/100000, Total Reward: -5, loss: 19.140676498413086
Episode 379/100000, Total Reward: -5, loss: 18.7501163482666
Episode 380/100000, Total Reward: -5, loss: 15.234441757202148
Episode 381/100000, Total Reward: -5, loss: 12.890625
Episode 382/100000, Total Reward: -5, loss: 16.01567840576172
Episode 383/100000, Total Reward: -5, loss: 14.453125
Episode 384/100000, Total Reward: -5, loss: 16.796924591064453
Episode 385/100000, Total Reward: -5, loss: 15.234375
Episode 386/100000, Total Reward: -5, loss: 13.671875
Episode 387/100000, Total Reward: -5, loss: 13.28125
Episode 388/100000, Total Reward: -5, loss: 14.453125
Episode 389/100000, Total Reward: -5, loss: 16.79697036743164
Episode 390/100000, Total Reward: -5, loss: 13.28125
Episode 391/100000, Total Reward: -5, loss: 14.453170776367188
Episode 392/100000, Total Reward: -5, loss: 13.28125
Episode 393/100000, Total Reward: -5, loss: 12.890625
Episode 394/100000, Total Reward: -5, loss: 15.625027656555176
Episode 395/100000, Total Reward: -5, loss: 16.015663146972656
Episode 396/100000, Total Reward: -5, loss: 18.750045776367188
Episode 397/100000, Total Reward: -5, loss: 14.453125
Episode 398/100000, Total Reward: -5, loss: 15.625044822692871
Episode 399/100000, Total Reward: -5, loss: 13.671875
Episode 400/100000, Total Reward: -5, loss: 18.7501163482666
Episode 401/100000, Total Reward: -5, loss: 14.453193664550781
Episode 402/100000, Total Reward: -5, loss: 17.187646865844727
Episode 403/100000, Total Reward: -5, loss: 14.84375
Episode 404/100000, Total Reward: -5, loss: 10.9375
Episode 405/100000, Total Reward: -5, loss: 13.671875
Episode 406/100000, Total Reward: -5, loss: 11.71875
Episode 407/100000, Total Reward: -5, loss: 17.1875
Episode 408/100000, Total Reward: -5, loss: 14.84375
Episode 409/100000, Total Reward: -5, loss: 17.57820701599121
Episode 410/100000, Total Reward: 5, loss: 12.890643119812012
Episode 411/100000, Total Reward: -5, loss: 11.328125
Episode 412/100000, Total Reward: -5, loss: 16.01567840576172
Episode 413/100000, Total Reward: -5, loss: 12.890625
Episode 414/100000, Total Reward: -5, loss: 14.84375
Episode 415/100000, Total Reward: -5, loss: 14.84375
Episode 416/100000, Total Reward: -5, loss: 15.234375
Episode 417/100000, Total Reward: -5, loss: 18.35942268371582
Episode 418/100000, Total Reward: -5, loss: 15.625
Episode 419/100000, Total Reward: -5, loss: 9.375
Episode 420/100000, Total Reward: -5, loss: 14.0625
Episode 421/100000, Total Reward: -5, loss: 14.453125
Episode 422/100000, Total Reward: 5, loss: 14.453125
Episode 423/100000, Total Reward: -5, loss: 16.015625
Episode 424/100000, Total Reward: -5, loss: 19.14067840576172
Episode 425/100000, Total Reward: -5, loss: 16.015682220458984
Episode 426/100000, Total Reward: -5, loss: 16.406288146972656
Episode 427/100000, Total Reward: -5, loss: 16.015668869018555
Episode 428/100000, Total Reward: -5, loss: 14.843816757202148
Episode 429/100000, Total Reward: 5, loss: 14.453239440917969
Episode 430/100000, Total Reward: -5, loss: 16.40625
Episode 431/100000, Total Reward: -5, loss: 14.843799591064453
Episode 432/100000, Total Reward: -5, loss: 16.796875
Episode 433/100000, Total Reward: -5, loss: 17.1875
Episode 434/100000, Total Reward: 5, loss: 16.40625
Episode 435/100000, Total Reward: -5, loss: 16.79703140258789
Episode 436/100000, Total Reward: -5, loss: 12.890625
Episode 437/100000, Total Reward: -5, loss: 13.671875
Episode 438/100000, Total Reward: -5, loss: 14.0625
Episode 439/100000, Total Reward: -5, loss: 18.75005340576172
Episode 440/100000, Total Reward: -5, loss: 16.406288146972656
Episode 441/100000, Total Reward: -5, loss: 17.578125
Episode 442/100000, Total Reward: -5, loss: 11.71875
Episode 443/100000, Total Reward: -5, loss: 17.96875
Episode 444/100000, Total Reward: -5, loss: 13.671875
